ssn,shift_name,date,is_present
116851994,Morning,07/02/2019,False
116851994,Morning,07/03/2019,True
116851994,Morning,07/04/2019,True
116851994,Morning,07/05/2019,True
116851994,Morning,07/06/2019,True
116851994,Morning,07/07/2019,True
116851994,Morning,07/08/2019,False
116851994,Morning,07/09/2019,True
116851994,Morning,07/10/2019,False
116851994,Morning,07/11/2019,False
116851994,Morning,07/12/2019,False
116851994,Morning,07/13/2019,False
116851994,Morning,07/14/2019,True
116851994,Morning,07/15/2019,True
116851994,Morning,07/16/2019,True
116851994,Morning,07/17/2019,True
116851994,Morning,07/18/2019,True
116851994,Morning,07/19/2019,True
116851994,Morning,07/20/2019,True
116851994,Morning,07/21/2019,False
116851994,Morning,07/22/2019,True
116851994,Morning,07/23/2019,True
116851994,Morning,07/24/2019,False
116851994,Morning,07/25/2019,True
116851994,Morning,07/26/2019,False
116851994,Morning,07/27/2019,True
116851994,Morning,07/28/2019,True
116851994,Morning,07/29/2019,True
116851994,Morning,07/30/2019,False
116851994,Morning,07/31/2019,True
116851994,Morning,08/01/2019,True
116851994,Morning,08/02/2019,False
116851994,Morning,08/03/2019,True
116851994,Morning,08/04/2019,False
116851994,Morning,08/05/2019,True
116851994,Morning,08/06/2019,True
116851994,Morning,08/07/2019,True
116851994,Morning,08/08/2019,True
116851994,Morning,08/09/2019,True
116851994,Morning,08/10/2019,True
116851994,Morning,08/11/2019,True
116851994,Morning,08/12/2019,True
116851994,Morning,08/13/2019,True
116851994,Morning,08/14/2019,False
116851994,Morning,08/15/2019,False
116851994,Morning,08/16/2019,True
116851994,Morning,08/17/2019,True
116851994,Morning,08/18/2019,True
116851994,Morning,08/19/2019,True
116851994,Morning,08/20/2019,True
116851994,Morning,08/21/2019,True
116851994,Morning,08/22/2019,True
116851994,Morning,08/23/2019,True
116851994,Morning,08/24/2019,True
116851994,Morning,08/25/2019,True
116851994,Morning,08/26/2019,False
116851994,Morning,08/27/2019,True
116851994,Morning,08/28/2019,True
116851994,Morning,08/29/2019,True
116851994,Morning,08/30/2019,True
116851994,Morning,08/31/2019,True
116851994,Morning,09/01/2019,True
116851994,Morning,09/02/2019,True
116851994,Morning,09/03/2019,False
116851994,Morning,09/04/2019,True
116851994,Morning,09/05/2019,True
116851994,Morning,09/06/2019,True
116851994,Morning,09/07/2019,False
116851994,Morning,09/08/2019,True
116851994,Morning,09/09/2019,True
116851994,Morning,09/10/2019,True
116851994,Morning,09/11/2019,False
116851994,Morning,09/12/2019,True
116851994,Morning,09/13/2019,True
116851994,Morning,09/14/2019,True
116851994,Morning,09/15/2019,True
116851994,Morning,09/16/2019,False
